id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModifiedbf46a4a9-7832-4beb-92f8-30305cb12610;Hoher Kasten Drehrestaurant und Seilbahn AG;Ein grenzenloses 360°-Panorama und kulinarische Höhenflüge im einzigen Drehrestaurant der Ostschweiz erwartet Sie auf 1794 m ü. M.;<p>In nur acht Minuten bringt Sie die Seilbahn Hoher Kasten von Br&uuml;lisau direkt auf 1794 m &uuml;. M., vorbei an idyllischen H&uuml;gellandschaften und typischen Appenzeller Bauernh&auml;usern. Oben angekommen schweift Ihr Blick &uuml;ber sechs L&auml;nder (Deutschland, &Ouml;sterreich, Schweizer Alpen und Mittelland, Italien, Frankreich). Die grenzenlose 360&deg;-Aussicht erleben Sie zum einen auf dem Europa-Rundweg, der einmal um den Gipfel f&uuml;hrt. Zum anderen im einzigen Drehrestaurant der Ostschweiz, wo sich w&auml;hrend einer Stunde Ihr Ausblick immer wieder &auml;ndert. Neben einmaligen Ausblicken, bietet Ihnen das Drehrestaurant ein ausgezeichnete Gastronomie mit einheimischen und saisonale Speisen. Bleibende Eindr&uuml;cke hinterl&auml;sst auch der Alpengarten, das Pflanzenparadies auf dem Gipfel. &Uuml;ber 300 Pflanzenarten entfalten dort Ihre farbige Pracht. Der Hohe Kasten ist auch idealer Ausgangspunkt f&uuml;r diverse Wanderungen in alle Richtungen. Die Seilbahn und die Gastronomie ist ganzj&auml;hrig von April bis Februar ge&ouml;ffnet. Die Betriebszeiten finden Sie unter hoherkasten.ch/seilbahn Kinder bis und mit 15 Jahre fahren mit der Seilbahn Hoher Kasten gratis. Die Seilbahn Hoher Kasten und das Drehrestaurant ist komplett barrierefrei zug&auml;nglich.<br><br></p>;9.456739425659181;47.296454615318034;Dorf 22;9058;Brülisau;+41 71 799 13 22;info@hoherkasten.ch;https://www.hoherkasten.ch/;[{'@type': 'ImageObject', 'contentUrl': 'https://alarpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/c/1/4/9c1427955917142b69c99ab749eece8c46f4ed00_Armando_Branchi_Alpstein.jpg'}];2026-06-10T14:35:20+02:00
f2a68a9a-d6fb-4239-9df9-c9d236873720;Luftseilbahn Wasserauen-Ebenalp AG;Die Ebenalp ist der ideale Ausgangspunkt für Wanderungen im eindrücklichen Alpstein. Hier zeigt sich das Appenzellerland von seiner ganz besonderen Seite. Sanfte Alpenwiesen, schroffe Felsformationen und herrliche Aussichtspunkte.;Man spürt sie noch heute. Die Urkraft des Berges.
An der Felswand beim Aescher und im Innern der Wildkirchlihöhlen

Es ist der Ort, an dem alles begann. Die Quelle des Alpsteintourismus. Dort, wo das Berggasthaus Aescher steht. Es gehört zu den ältesten der Schweiz. Bereits um 1800 begannen Eremiten und Sennen auf der Alp Aescher Gäste zu verpflegen. Heute ist das Gasthaus weit bekannt. Für seine Atmosphäre und seine Gastfreundschaft. Angeschmiegt an den Felsen, eins mit dem Berg und der imposanten Natur. Ein Bild, das um die Welt geht.

Nicht weniger gross ist die Anziehungskraft des nahegelegenen Wildkirchli. Prähistorische Funde machen die Wildkirchlihöhlen 1904 berühmt. Die Ausgrabungen beweisen erstmals, dass Neandertaler auch im Alpenraum waren. Und dann wären da noch die Spuren der Höhlenbären.

Aber auch im Winter hat die Ebenalp, die Sonnenterrasse des Alpsteins, etwas zu bieten.

Raus aus dem grauen Alltag, rein in das sonnige Vergnügen.
Leichtfüssig durch die schneegepuderte Landschaft, die Sonne im Gesicht und der Blick über den Alpstein – so unbeschwert kann der Winter sein. Auf dem Panoramaweg und der Schneeschuhroute bleibt der Genuss gewiss nicht auf der Strecke.
Beide Wanderungen führen von der Bergstation Ebenalp vorbei am Berggasthaus. Sonnenhungrige sowie Erholungssuchende sind hier gut bedient.

Im Skigebiet Ebenalp-Horn gleitet der Stresspegel ebenfalls talwärts. Kurze Anfahrtswege, genügend Parkplätze und geringe Wartezeiten lassen aufatmen. Bei uns gilt: Herunterfahren und Entschleunigen. Genau das richtige für ein locker-flockiges Schneevergnügen im Appenzellerland.
Unser Naherholungs-Skigebiet trumpft mit abwechslungsreichen Abfahrten in allen Schwierigkeitsgraden für die ganze Familie.;9.428586959838869;47.2866086580885;Schwendetalstrasse 82;9057;Wasserauen;+41 71 799 12 12;info@ebenalp.ch;https://www.ebenalp.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://alarpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/c/6/4/9c64358a5e70beeba512003e47b2cb43f2af05cd_Aescher.jpg'}];2026-09-03T02:43:31+02:00
